spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
abno01,ANIC000025,-17.17,145.65,12,PicXB54412,11,original,NA,Anoplognathus_abnormis,17,NA,1.2,46,1.1991991,0.41,0.67,0.3
abno02,ANIC000031,-17.25,145.63,12,PicXB54409,12,original,NA,Anoplognathus_abnormis,19,NA,4.5,86,1.2298372,0.41,0.7,0.3
ambl01,PicXB64840,-33.73,151.08,12,PicXB64840,10,original,NA,NA_NA,19,26,1.4,58,0.91975087,0.2,0.56,0.14
ambl02,PicXB64844,-33.8,151.18,12,PicXB64844,9,original,NA,NA_NA,0,34,NA,NA,0.9671895,0.22,0.6,0.15
anom01,PicXB54397,-12.36,130.87,12,PicXB54397,11,original,NA,NA_NA,3,NA,NA,NA,0.7689692,0.48,0.16,0.45
anom02,NA,-19.23,146.09,12,NA,12,HR,anom2,NA_NA,8,NA,0.8,29,0.48203707,0.36,0.43,0.29
anom03,ANIC057768,-12.35,130.88,12,NA,11,HR,anom1,NA_NA,3,NA,0.6,26,0.7689692,0.48,0.16,0.45
atki01,PicXB33952,-16.41,145.2,5,PicXB33952,1,original,NA,Calloodes_atkinsonii,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
atki02,PicXB33969,-16.41,145.2,5,PicXB33969,1,original,NA,Calloodes_atkinsonii,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
atki03,NA,-16.47,145.22,5,NA,11,HR,atki1,Calloodes_atkinsonii,13,NA,1.3,48,1.4510267,0.35,0.73,0.25
atki04,NA,-15.03,145.09,5,NA,5,HR,atki2,Calloodes_atkinsonii,12,NA,2.1,63,0.84661484,0.47,0.36,0.4
aurs01,ANIC000244,-17.05,145.83,1,PicXB44076,1,original,NA,Anoplognathus_aureus,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
aurs02,ANIC000205,-17.05,145.83,1,PicXB44080,1,original,NA,Anoplognathus_aureus,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
aurs03,ANIC000260,-16.88,145.68,1,NA,12,HR,aurs1,Anoplognathus_aureus,9,NA,1.5,54,1.004579,0.52,0.48,0.43
aurs04,ANIC000261,-16.88,145.68,1,NA,12,HR,aurs2,Anoplognathus_aureus,9,NA,1.5,54,1.004579,0.52,0.48,0.43
boid01,ANIC000331,-16.62,145.2,1,PicXB54352,1,original,NA,Anoplognathus_boisduvalii,8,0,1.2,42,0.5341794,0.38,0.37,0.31
boid02,ANIC000339,-17.05,145.8,1,PicXB54355,12,original,NA,Anoplognathus_boisduvalii,9,NA,1.6,55,1.1177609,0.55,0.46,0.46
boid03,ANIC000366,-16.92,145.77,1,PicXB54358,1,original,NA,Anoplognathus_boisduvalii,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
boid04,ANIC000326,-17,145.43,1,PicXB54361,11,original,NA,Anoplognathus_boisduvalii,9,NA,1,42,0.5277148,0.37,0.37,0.3
boid05,ANIC000344,-23.72,150.7,1,PicXB54364,12,original,NA,Anoplognathus_boisduvalii,7,2,2.4,66,0.42639482,0.3,0.32,0.25
brev01,ANIC000559,-13.82,131.83,5,PicXB54367,3,original,NA,Anoplognathus_brevicollis,5,NA,1,43,0.5987648,0.44,0.18,0.4
brev02,ANIC000558,-13.82,131.83,5,PicXB54371,3,original,NA,Anoplognathus_brevicollis,5,NA,1,43,0.5987648,0.44,0.18,0.4
brun01,ANIC000610,-32.97,150.67,1,PicXB65063,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
brun02,ANIC000611,-32.97,150.67,1,PicXB65060,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
brun03,ANIC000612,-32.97,150.67,1,PicXB65057,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
brun04,ANIC000613,-33.38,150.98,1,PicXB65053,12,original,NA,Anoplognathus_brunnipennis,10,NA,1.4,53,0.66894364,0.2,0.47,0.14
brun05,ANIC000616,-32.97,150.67,1,PicXB65050,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
brun06,ANIC000617,-32.97,150.67,1,PicXB65047,1,original,NA,Anoplognathus_brunnipennis,7,0,1.9,65,0.534062,0.14,0.34,0.1
brun07,ANIC000639,-33.25,150.67,1,PicXB65042,11,original,NA,Anoplognathus_brunnipennis,16,NA,4.1,85,0.76195276,0.17,0.46,0.11
brun08,ANIC000640,-31.4,152.12,1,PicXB65039,2,original,NA,Anoplognathus_brunnipennis,15,NA,6.1,90,1.02229,0.16,0.55,0.11
brun09,ANIC000641,-28.77,151.85,1,PicXB65036,1,original,NA,Anoplognathus_brunnipennis,9,2,1.4,54,0.4920606,0.12,0.29,0.08
brun10,ANIC000644,-28.77,151.85,1,PicXB65033,11,original,NA,Anoplognathus_brunnipennis,9,2,1.4,54,0.4920606,0.12,0.29,0.08
brun11,ANIC000645,-28.77,151.85,1,PicXB65029,11,original,NA,Anoplognathus_brunnipennis,9,2,1.4,54,0.4920606,0.12,0.29,0.08
brun12,ANIC000650,-31.45,152.73,1,PicXB65026,1,original,NA,Anoplognathus_brunnipennis,14,0,2.1,76,1.0191678,0.29,0.68,0.21
clor01,ANIC000913,-30.6,151.55,1,PicXB65019,1,original,NA,Anoplognathus_chloropyrus,6,0,2.8,71,0.6189892,0.08,0.28,0.05
clor02,ANIC000915,-30.6,151.55,1,PicXB65016,1,original,NA,Anoplognathus_chloropyrus,6,0,2.8,71,0.6189892,0.08,0.28,0.05
clor03,ANIC000919,-30.52,151.67,1,PicXB65013,1,original,NA,Anoplognathus_chloropyrus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
clor04,ANIC000859,-35.4,149.1,1,PicXB65010,12,original,NA,Anoplognathus_chloropyrus,6,40,NA,NA,0.61324924,0.05,0.21,0.04
clor06,ANIC000868,-28.77,151.85,1,PicXB65004,11,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor07,ANIC000869,-28.77,151.85,1,PicXB65001,11,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor08,ANIC000870,-28.77,151.85,1,PicXB64998,11,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor09,ANIC000871,-28.77,151.85,1,PicXB64995,11,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor10,ANIC000874,-28.77,151.85,1,PicXB64991,11,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor11,ANIC000963,-37.95,147.12,1,PicXB64988,1,original,NA,Anoplognathus_chloropyrus,7,0,NA,NA,0.6708747,0.06,0.3,0.04
clor12,ANIC000964,-37.95,147.12,1,PicXB64985,1,original,NA,Anoplognathus_chloropyrus,7,0,NA,NA,0.6708747,0.06,0.3,0.04
clor13,ANIC000965,-37.95,147.12,1,PicXB64982,1,original,NA,Anoplognathus_chloropyrus,7,0,NA,NA,0.6708747,0.06,0.3,0.04
clor14,ANIC002571,-28.77,151.85,1,PicXB64979,12,original,NA,Anoplognathus_chloropyrus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
clor15,ANIC002572,-28.55,151.83,1,PicXB64976,12,original,NA,Anoplognathus_chloropyrus,10,5,1.6,59,0.5728239,0.11,0.32,0.07
clor16,ANIC002575,-28.55,151.83,1,PicXB64973,12,original,NA,Anoplognathus_chloropyrus,10,5,1.6,59,0.5728239,0.11,0.32,0.07
clor17,ANIC000962,-30.6,151.55,1,NA,1,HR,clor1,Anoplognathus_chloropyrus,6,0,2.8,71,0.6189892,0.08,0.28,0.05
conc01,ANIC002674,-32.13,151.45,12,PicXB64970,1,original,NA,Anoplognathus_concolor,14,0,6.1,92,0.97894996,0.14,0.5,0.1
conc02,ANIC002675,-32.13,151.45,12,PicXB64967,1,original,NA,Anoplognathus_concolor,14,0,6.1,92,0.97894996,0.14,0.5,0.1
conc03,ANIC002676,-32.13,151.45,12,PicXB64964,1,original,NA,Anoplognathus_concolor,14,0,6.1,92,0.97894996,0.14,0.5,0.1
conc04,ANIC002682,-30.38,153.03,12,PicXB64961,12,original,NA,Anoplognathus_concolor,19,0,2.2,71,1.0669996,0.33,0.69,0.24
conc05,ANIC002611,-28.33,153.33,12,NA,4,HR,conc1,Anoplognathus_concolor,20,0,6,90,1.3173895,0.4,0.76,0.29
conc06,ANIC002612,-32.17,151.5,12,NA,2,HR,conc2,Anoplognathus_concolor,14,NA,5.8,89,0.9019687,0.23,0.57,0.16
ecry01,PicXB13671,-35.03,117.88,1,PicXB13671,1,original,NA,Epichrysus_lamprimoides,NA,26,NA,NA,0.9959629,0.07,0.43,0.04
ecry02,PicXB44101,-35.03,117.88,1,PicXB44101,1,original,NA,Epichrysus_lamprimoides,NA,26,NA,NA,0.9959629,0.07,0.43,0.04
ecry03,PicXB4410,-35.03,117.88,1,PicXB44107,1,original,NA,Epichrysus_lamprimoides,NA,26,NA,NA,0.9959629,0.07,0.43,0.04
ecry04,ANIC,-34.96,117.86,1,NA,1,HR,ecry1,Epichrysus_lamprimoides,9,0,0.9,39,0.92971194,0.06,0.42,0.04
ecry05,ANIC,-34.96,117.86,1,NA,1,HR,ecry2,Epichrysus_lamprimoides,9,0,0.9,39,0.92971194,0.06,0.42,0.04
fchi01,PicXB13643,-11.45,142.35,6,PicXB13643,1,original,NA,Calloodes_frenchii,13,NA,0.6,24,0.9126084,0.47,0.28,0.42
fchi02,PicXB33972,-11.45,142.35,6,PicXB33972,1,original,NA,Calloodes_frenchii,13,NA,0.6,24,0.9126084,0.47,0.28,0.42
fchi03,NA,-11.39,142.27,6,NA,1,HR,fchi1,Calloodes_frenchii,13,NA,1.4,48,0.89679265,0.47,0.27,0.42
fchi04,NA,-11.39,142.27,6,NA,6,HR,fchi2,Calloodes_frenchii,13,NA,1.4,48,0.89679265,0.47,0.27,0.42
gray01,PicXB34007,-12.19,133.19,4,PicXB34007,4,original,NA,Calloodes_grayianus,5,NA,1,33,0.658032,0.44,0.16,0.41
gray02,PicXB34011,-17.4,123.73,4,PicXB34011,4,original,NA,Calloodes_grayianus,1,NA,1.3,44,0.2435542,0.22,0.05,0.22
gray03,PicXB13638,-14.31,132.22,4,PicXB13638,12,original,NA,Calloodes_grayianus,4,NA,1.1,38,0.48642477,0.4,0.14,0.37
gray04,NA,-18.96,144.99,4,NA,4,HR,gray1,Calloodes_grayianus,9,NA,0.7,26,0.33739135,0.29,0.24,0.24
gray05,NA,-17.69,123.6,4,NA,4,HR,gray2,Calloodes_grayianus,2,NA,0.9,43,0.20866689,0.19,0.04,0.19
hirs01,ANIC002925,-35.38,149.08,12,PicXB64764,12,original,NA,Anoplognathus_hirsutus,0,28,NA,NA,0.6313396,0.05,0.21,0.03
hirs02,ANIC002929,-34.58,149.57,12,PicXB64767,12,original,NA,Anoplognathus_hirsutus,8,0,1,51,0.64552903,0.04,0.2,0.03
hirs03,ANIC002943,-33.25,150.67,12,PicXB64770,11,original,NA,Anoplognathus_hirsutus,16,NA,4.1,85,0.76195276,0.17,0.46,0.11
hirs04,ANIC002974,-31.05,151.77,12,PicXB64780,12,original,NA,Anoplognathus_hirsutus,7,4,2.3,73,0.6323635,0.09,0.32,0.06
hirs05,ANIC002975,-31.05,151.77,12,PicXB64786,12,original,NA,Anoplognathus_hirsutus,7,4,2.3,73,0.6323635,0.09,0.32,0.06
hirs06,ANIC002976,-31.05,151.77,12,PicXB64773,12,original,NA,Anoplognathus_hirsutus,7,4,2.3,73,0.6323635,0.09,0.32,0.06
hirs07,ANIC002978,-28.77,151.85,12,PicXB64777,11,original,NA,Anoplognathus_hirsutus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
hirs08,ANIC002981,-28.77,151.85,12,PicXB64789,11,original,NA,Anoplognathus_hirsutus,9,2,1.4,54,0.4920606,0.12,0.29,0.08
hirs09,ANIC002982,-30.52,151.65,12,PicXB64793,1,original,NA,Anoplognathus_hirsutus,5,55,1,47,0.5683937,0.08,0.28,0.05
hirs10,ANIC002986,-31.05,151.77,12,PicXB64796,12,original,NA,Anoplognathus_hirsutus,7,4,2.3,73,0.6323635,0.09,0.32,0.06
hirs11,ANIC003184,-36.98,146.17,12,PicXB64808,2,original,NA,Anoplognathus_hirsutus,6,5,1,46,1.3145889,0.06,0.3,0.04
hirs12,ANIC003186,-36.98,146.17,12,PicXB64802,2,original,NA,Anoplognathus_hirsutus,6,5,1,46,1.3145889,0.06,0.3,0.04
hirs13,ANIC003193,-36.98,146.17,12,PicXB64805,2,original,NA,Anoplognathus_hirsutus,6,5,1,46,1.3145889,0.06,0.3,0.04
hirs14,ANIC003197,-35.48,148.78,12,PicXB64799,12,original,NA,Anoplognathus_hirsutus,13,0,3.5,82,1.6247131,0.01,0.19,0.01
hirs15,ANIC002916,-30.4,152.35,12,NA,12,HR,hirs1,Anoplognathus_hirsutus,16,0,3.5,79,1.105169,0.07,0.44,0.05
hirs16,ANIC002917,-34.58,149.57,12,NA,12,HR,hirs2,Anoplognathus_hirsutus,8,0,1,51,0.64552903,0.04,0.2,0.03
lats01,PicXB44110,-18.86,145.91,1,PicXB44110,1,original,NA,Anoplostethus_laetus,17,NA,0.7,36,0.7523367,0.38,0.57,0.29
lats02,PicXB44113,-17.03,145.46,1,PicXB44113,1,original,NA,Anoplostethus_laetus,9,NA,0.8,37,0.56064427,0.37,0.39,0.3
lats03,PicXB44116,-17.91,145.91,1,PicXB44116,5,original,NA,Anoplostethus_laetus,21,NA,6.2,89,1.984159,0.61,0.73,0.48
lats04,ANIC,-17.03,145.46,1,NA,1,HR,lats1,Anoplostethus_laetus,9,NA,0.8,37,0.56064427,0.37,0.39,0.3
lats05,ANIC,-17.81,145.59,1,NA,1,HR,lats2,Anoplostethus_laetus,18,NA,0.7,28,1.7335103,0.46,0.78,0.34
macl01,ANIC003232,-23.97,133.17,2,PicXB64942,2,original,NA,Anoplognathus_macleayi,1,53,0.5,32,0.094505094,0.05,0.06,0.04
macl02,ANIC003227,-23.75,133.95,2,PicXB64938,2,original,NA,Anoplognathus_macleayi,1,34,0.4,26,0.0887024,0.05,0.06,0.04
macl03,ANIC003228,-23.75,133.95,2,PicXB64935,2,original,NA,Anoplognathus_macleayi,1,34,0.4,26,0.0887024,0.05,0.06,0.04
macl04,ANIC003229,-23.97,133.17,2,PicXB64932,2,original,NA,Anoplognathus_macleayi,1,53,0.5,32,0.094505094,0.05,0.06,0.04
macl05,ANIC003230,-23.75,133.95,2,PicXB64929,2,original,NA,Anoplognathus_macleayi,1,34,0.4,26,0.0887024,0.05,0.06,0.04
macl06,ANIC003250,-23.02,132.7,2,NA,4,HR,mclm1,Anoplognathus_macleayi,1,49,0.5,28,0.08735955,0.06,0.05,0.05
macl07,ANIC003251,-23.63,133.87,2,NA,2,HR,mclm2,Anoplognathus_macleayi,1,45,NA,NA,0.09284888,0.05,0.06,0.04
mcla01,ANIC003299,-26.37,119.82,1,PicXB44072,1,original,NA,Anoplognathus_macleayi,1,54,0.3,23,0.09047693,0.04,0.05,0.03
mcla02,ANIC003303,-22.78,117.78,1,PicXB44069,2,original,NA,Anoplognathus_macleayi,0,21,0.1,7,0.10881107,0.07,0.05,0.07
mcla03,ANIC005833,-22.12,133.42,1,NA,12,HR,mcla1,Anoplognathus_macleayi,1,43,0.5,26,0.0929419,0.07,0.05,0.06
meli01,ANIC002784,-17.05,145.83,1,PicXB64958,1,original,NA,Anoplognathus_daemeli,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
meli02,ANIC002785,-17.05,145.83,1,PicXB64954,1,original,NA,Anoplognathus_daemeli,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
meli03,ANIC002791,-17.05,145.83,1,PicXB64951,1,original,NA,Anoplognathus_daemeli,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
meli04,ANIC002795,-17.05,145.83,1,PicXB64948,1,original,NA,Anoplognathus_daemeli,10,NA,0.7,30,1.2593485,0.58,0.53,0.47
meli05,ANIC002796,-18.98,146.15,1,PicXB64945,1,original,NA,Anoplognathus_daemeli,16,NA,2.5,67,1.195365,0.41,0.69,0.31
mima01,PicXB65085,-18.59,146.09,12,PicXB65085,1,original,NA,Mimadoretus_niveosquamosus,18,NA,1.6,51,1.0159976,0.54,0.47,0.45
mima02,PicXB65088,-18.59,146.09,12,PicXB65088,1,original,NA,Mimadoretus_niveosquamosus,18,NA,1.6,51,1.0159976,0.54,0.47,0.45
mont01,ANIC005349,-27.93,152.93,1,PicXB64811,12,original,NA,Anoplognathus_montanus,6,0,3.1,78,0.5479193,0.27,0.45,0.21
mont02,ANIC005261,-35.58,147.37,1,PicXB64816,1,original,NA,Anoplognathus_montanus,4,0,0.7,42,0.8289608,0.06,0.25,0.04
mont03,ANIC005307,-34.6,148.57,1,PicXB64819,1,original,NA,Anoplognathus_montanus,4,17,0.6,34,0.7064767,0.06,0.24,0.04
mont04,ANIC005279,-34.55,148.3,1,PicXB64822,1,original,NA,Anoplognathus_montanus,4,1,1.4,56,0.6613864,0.07,0.24,0.05
mont05,ANIC005389,-34.57,138.85,1,PicXB64825,1,original,NA,Anoplognathus_montanus,4,39,0.4,26,0.49187583,0.04,0.22,0.03
mont06,ANIC005266,-36.38,146.28,1,PicXB64828,1,original,NA,Anoplognathus_montanus,4,4,0.8,38,0.76273894,0.07,0.27,0.05
mult01,ANIC005406,-26.03,153.05,10,PicXB54433,10,original,NA,Anoplognathus_multiseriatus,11,0,4.1,81,0.9979493,0.44,0.71,0.34
mult02,ANIC005409,-26.65,153.1,10,PicXB54437,12,original,NA,Anoplognathus_multiseriatus,NA,43,NA,NA,1.1075296,0.44,0.73,0.34
mult03,ANIC005407,-26.03,153.05,10,PicXB54441,10,original,NA,Anoplognathus_multiseriatus,11,0,4.1,81,0.9979493,0.44,0.71,0.34
narm01,ANIC005476,-31.13,138.57,1,PicXB64831,10,original,NA,Anoplognathus_narmarus,2,49,0.4,26,0.14923573,0.03,0.07,0.02
narm02,ANIC005478,-31.33,138.62,1,PicXB64834,11,original,NA,Anoplognathus_narmarus,3,53,0.4,27,0.16178705,0.03,0.08,0.02
narm03,ANIC005479,-31.33,138.6,1,PicXB64837,11,original,NA,Anoplognathus_narmarus,3,49,0.5,28,0.15196562,0.03,0.08,0.02
narm04,ANIC005462,-32.42,137.98,1,NA,1,HR,narm1,Anoplognathus_narmarus,4,18,0.5,30,0.26224807,0.03,0.12,0.02
narm05,ANIC005463,-32.42,137.98,1,NA,1,HR,narm2,Anoplognathus_narmarus,4,18,0.5,30,0.26224807,0.03,0.12,0.02
neba01,ANIC005623,-15.95,136.37,4,4427,4,original,NA,Anoplognathus_nebulosus     ,4,NA,1,41,0.34167156,0.31,0.09,0.3
neba02,ANIC005624,-15.95,136.37,4,4430,4,original,NA,Anoplognathus_nebulosus     ,4,NA,1,41,0.34167156,0.31,0.09,0.3
nebn01,ANIC005538,-15.1,145.25,4,PicXB54450,5,original,NA,Anoplognathus_nebulosus     ,NA,NA,1.6,52,0.8904678,0.5,0.36,0.43
nebn02,ANIC005535,-15.1,145.25,4,PicXB54453,5,original,NA,Anoplognathus_nebulosus     ,NA,NA,1.6,52,0.8904678,0.5,0.36,0.43
nebn03,ANIC005585,-23.55,149.65,4,PicXB54456,12,original,NA,Anoplognathus_nebulosus     ,7,1,1.1,54,0.32452735,0.23,0.23,0.19
neus01,ANIC000073,-17.77,145.58,1,PicXB13648,1,original,NA,Anoplognathus_aeneus,18,NA,5.5,87,1.3304513,0.56,0.64,0.45
neus02,ANIC000105,-18.98,146.15,1,PicXB54415,1,original,NA,Anoplognathus_aeneus,16,NA,2.5,67,1.195365,0.41,0.69,0.31
oliv01,ANIC005962,-30.38,153.03,1,PicXB54444,2,original,NA,Anoplognathus_olivieri,19,0,2.2,71,1.0669996,0.33,0.69,0.24
oliv02,ANIC005963,-30.38,153.03,1,PicXB54447,2,original,NA,Anoplognathus_olivieri,19,0,2.2,71,1.0669996,0.33,0.69,0.24
opal01,PicXB13659,-31.9,116,12,PicXB13659,12,original,NA,Anoplostethus_opalinus,0,20,0.5,28,0.7896555,0.07,0.36,0.05
opal02,PicXB44124,-31.95,115.84,12,PicXB44124,12,original,NA,Anoplostethus_opalinus,14,34,1,44,0.8567213,0.07,0.37,0.05
opal03,ANIC,-31.75,116.09,12,NA,12,HR,opal1,Anoplostethus_opalinus,7,8,0.9,41,0.9196999,0.06,0.33,0.04
pali01,ANIC008588,-35.3,149.13,12,PicXB23713,1,original,NA,Anoplognathus_pallidicollis,0,10,0.3,20,0.5741836,0.06,0.21,0.04
