spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
pali02,ANIC008590,-35.27,149.1,12,PicXB23716,1,original,NA,Anoplognathus_pallidicollis,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pali03,ANIC008525,-31.52,146.1,12,PicXB13610,12,original,NA,Anoplognathus_pallidicollis,3,33,1,42,0.21392433,0.06,0.11,0.04
pali04,ANIC008529,-34.58,142.77,12,PicXB23719,10,original,NA,Anoplognathus_pallidicollis,4,32,0.7,36,0.2599521,0.04,0.13,0.03
pali05,ANIC008530,-34.58,142.77,12,PicXB23722,10,original,NA,Anoplognathus_pallidicollis,4,32,0.7,36,0.2599521,0.04,0.13,0.03
pali06,ANIC008532,-24.87,152.35,12,PicXB23725,11,original,NA,Anoplognathus_pallidicollis,8,32,NA,NA,0.59448236,0.39,0.48,0.31
pali07,ANIC008533,-27.32,153,12,PicXB23728,1,original,NA,Anoplognathus_pallidicollis,9,13,NA,NA,0.7589073,0.38,0.63,0.29
pali08,ANIC006061,-35.27,149.1,12,NA,1,HR,pali1,Anoplognathus_pallidicollis,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pali09,ANIC006062,-35.27,149.1,12,NA,2,HR,pali2,Anoplognathus_pallidicollis,14,18,0.7,30,0.734333,0.05,0.21,0.03
pczo01,PicXB44091,-30.36,152.73,1,PicXB44091,12,original,NA,Paraschizognathus_ocularis,8,NA,4,81,1.161988,0.22,0.61,0.15
pczo02,PicXB44094,-30.48,152.66,1,PicXB44094,12,original,NA,Paraschizognathus_ocularis,15,NA,6.2,93,1.169623,0.2,0.6,0.13
pczo03,PicXB44097,-30.48,152.66,1,PicXB44097,12,original,NA,Paraschizognathus_ocularis,15,NA,6.2,93,1.169623,0.2,0.6,0.13
pczo05,ANIC,-29.28,152.21,1,NA,12,HR,ocul2,Paraschizognathus_ocularis,16,0,4,84,0.7139945,0.14,0.44,0.09
pczp01,PicXB64860,-33.28,150.13,1,PicXB64860,12,original,NA,Paraschizognathus_prasinus,8,0,1.3,50,0.5999821,0.08,0.27,0.05
pczp02,PicXB64864,-33.3,150.23,1,PicXB64864,2,original,NA,Paraschizognathus_prasinus,15,NA,5.5,87,0.89548874,0.06,0.31,0.04
pczp03,PicXB64868,-34.4,150.04,1,PicXB64868,12,original,NA,Paraschizognathus_prasinus,7,0,2.1,71,0.5703145,0.07,0.25,0.05
pczp04,PicXB64871,-34.4,150.04,1,PicXB64871,12,original,NA,Paraschizognathus_prasinus,7,0,2.1,71,0.5703145,0.07,0.25,0.05
pczp05,ANIC,-33.84,150.41,1,NA,1,HR,ppsi1,Paraschizognathus_prasinus,16,0,3.6,82,0.92333627,0.12,0.45,0.08
pczp06,ANIC,-33.42,150.31,1,NA,12,HR,ppsi2,Paraschizognathus_prasinus,14,21,1.2,47,0.9808569,0.07,0.38,0.05
pczv01,PicXB64850,-30.44,153.04,1,PicXB64850,12,original,NA,Paraschizognathus_olivaceous,17,NA,3.9,80,1.0762581,0.33,0.69,0.24
pczv02,PicXB64853,-30.23,153.02,1,PicXB64853,1,original,NA,Paraschizognathus_olivaceous,19,0,5.7,89,1.0600019,0.32,0.68,0.23
pczv03,PicXB64857,-30.28,152.99,1,PicXB64857,12,original,NA,Paraschizognathus_olivaceous,18,0,6,90,1.1192383,0.31,0.69,0.23
pczv04,ANIC,-31.74,152.56,1,NA,12,HR,oliv1,Paraschizognathus_olivaceous,14,NA,6,90,1.205745,0.29,0.69,0.2
pczv05,ANIC,-30.23,153.02,1,NA,11,HR,oliv2,Paraschizognathus_olivaceous,19,0,5.7,89,1.0600019,0.32,0.68,0.23
pind01,ANIC008997,-30.52,151.67,1,PicXB23746,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind02,ANIC008999,-30.52,151.67,1,PicXB23749,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind03,ANIC009000,-30.52,151.67,1,PicXB23752,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind04,ANIC008950,-35.27,149.1,1,PicXB33930,12,original,NA,Anoplognathus_pindarus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pind05,ANIC008943,-35.38,149.08,1,PicXB33935,12,original,NA,Anoplognathus_pindarus,0,28,NA,NA,0.6313396,0.05,0.21,0.03
pind06,ANIC009007,-35.3,149.13,1,PicXB33942,1,original,NA,Anoplognathus_pindarus,0,10,0.3,20,0.5741836,0.06,0.21,0.04
pind07,ANIC008968,-30.52,151.67,1,PicXB33943,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind08,ANIC008967,-29.82,151.73,1,PicXB33946,1,original,NA,Anoplognathus_pindarus,6,0,3.2,77,0.67533004,0.09,0.33,0.06
pine01,PicXB54424,-11.39,142.27,12,PicXB54424,1,original,NA,Anoplognathus_mcalpinei,13,NA,1.4,48,0.89679265,0.47,0.27,0.42
poro01,ANIC009078,-35.27,149.1,1,PicXB34015,12,original,NA,Anoplognathus_porosus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
poro02,ANIC009079,-35.27,149.1,1,PicXB34018,1,original,NA,Anoplognathus_porosus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
poro03,ANIC009346,-29.12,152.17,1,PicXB34022,12,original,NA,Anoplognathus_porosus,16,0,2.8,80,0.70210075,0.12,0.43,0.08
poro04,ANIC009349,-27.93,152.93,1,PicXB34025,12,original,NA,Anoplognathus_porosus,6,0,3.1,78,0.5479193,0.27,0.45,0.21
poro05,ANIC009358,-28.55,151.83,1,PicXB44040,12,original,NA,Anoplognathus_porosus,10,5,1.6,59,0.5728239,0.11,0.32,0.07
poro06,ANIC009359,-26.55,153.08,1,PicXB44043,12,original,NA,Anoplognathus_porosus,18,19,4.4,83,1.1162567,0.43,0.74,0.33
poro07,ANIC009360,-26.55,153.08,1,PicXB44046,12,original,NA,Anoplognathus_porosus,18,19,4.4,83,1.1162567,0.43,0.74,0.33
poro08,ANIC009240,-35.27,149.1,1,PicXB44049,2,original,NA,Anoplognathus_porosus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
poro09,ANIC009241,-35.32,149.1,1,PicXB44054,12,original,NA,Anoplognathus_porosus,0,15,NA,NA,0.6114329,0.05,0.21,0.04
poro10,ANIC009243,-37.95,147.12,1,NA,1,original,NA,Anoplognathus_porosus,7,0,NA,NA,0.6708747,0.06,0.3,0.04
poro11,ANIC009244,-35.65,150.13,1,NA,1,original,NA,Anoplognathus_porosus,15,2,1.2,47,0.7820521,0.13,0.45,0.09
poro12,ANIC009247,-37.53,148.23,1,PicXB44057,12,original,NA,Anoplognathus_porosus,10,NA,4,84,1.1383271,0.05,0.36,0.04
poro13,ANIC009639,-30.52,151.65,1,PicXB44060,1,original,NA,Anoplognathus_porosus,5,55,1,47,0.5683937,0.08,0.28,0.05
poro14,ANIC009641,-30.52,151.65,1,PicXB44063,1,original,NA,Anoplognathus_porosus,5,55,1,47,0.5683937,0.08,0.28,0.05
poro15,ANIC009644,-17.45,145.3,1,PicXB44066,12,original,NA,Anoplognathus_porosus,10,NA,0.7,34,0.71543723,0.34,0.57,0.25
poro16,ANIC009199,-16.92,145.77,1,NA,1,HR,poro1,Anoplognathus_porosus,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
poro17,ANIC009200,-19.63,147.5,1,NA,1,HR,poro2,Anoplognathus_porosus,6,NA,2.6,72,0.52034086,0.41,0.33,0.35
prsi01,ANIC010038,-28.67,153.28,12,PicXB13629,11,original,NA,Anoplognathus_prasinus,20,NA,3.4,85,1.0501416,0.37,0.7,0.27
prsi02,ANIC010037,-28.62,153.38,12,PicXB23737,11,original,NA,Anoplognathus_prasinus,21,NA,6.3,94,1.5753404,0.36,0.78,0.26
prsi03,ANIC010039,-30.38,152.98,12,PicXB23740,11,original,NA,Anoplognathus_prasinus,17,NA,4.2,84,1.1028314,0.34,0.69,0.25
prsi04,ANIC010040,-30.38,152.98,12,NA,11,HR,prsi1,Anoplognathus_prasinus,17,NA,4.2,84,1.1028314,0.34,0.69,0.25
prsi05,ANIC010045,-28.82,153.27,12,NA,10,HR,prsi2,Anoplognathus_prasinus,10,41,0.8,43,0.9048353,0.36,0.67,0.27
prsi06,ANIC010043,-28.2,153.18,12,NA,12,HR,prsi3,Anoplognathus_prasinus,19,0,6.2,93,1.542328,0.27,0.72,0.19
psqz01,PicXB65066,-33.57,151.18,12,PicXB65066,3,original,NA,NA_NA,17,0,2,68,0.9807201,0.21,0.58,0.15
psqz02,PicXB65069,-33.57,151.18,12,PicXB65069,12,original,NA,NA_NA,17,0,2,68,0.9807201,0.21,0.58,0.15
psqz03,PicXB65074,-33.57,151.18,12,PicXB65074,3,original,NA,NA_NA,17,0,2,68,0.9807201,0.21,0.58,0.15
punc01,ANIC010186,-19.08,146.33,1,PicXB23743,1,original,NA,Anoplognathus_punctulatus,14,0,6,91,0.71261764,0.43,0.48,0.35
punc02,ANIC010200,-16.8,145.63,1,PicXB13635,11,original,NA,Anoplognathus_punctulatus,16,NA,1.1,44,1.1255403,0.5,0.56,0.4
pvul01,ANIC008611,-19.6,146.83,1,PicXB13656,12,original,NA,Anoplognathus_parvulus,6,NA,1.8,58,0.45441088,0.39,0.3,0.33
pvul02,ANIC008607,-19.63,147.5,1,PicXB23731,1,original,NA,Anoplognathus_parvulus,6,NA,2.6,72,0.52034086,0.41,0.33,0.35
pvul03,ANIC008742,-21.15,149.18,1,PicXB13626,1,original,NA,Anoplognathus_parvulus,12,NA,NA,NA,0.83167106,0.46,0.52,0.37
pvul04,ANIC008709,-16.92,145.77,1,PicXB23734,1,original,NA,Anoplognathus_parvulus,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
pvul05,ANIC008650,-19.6,146.83,1,NA,1,HR,pvul1,Anoplognathus_parvulus,6,NA,1.8,58,0.45441088,0.39,0.3,0.33
pvul06,ANIC008651,-19.52,147.1,1,NA,12,HR,pvul2,Anoplognathus_parvulus,7,NA,0.7,28,0.50900793,0.41,0.31,0.35
rayn01,PicXB33977,-16.31,145.04,2,PicXB33977,11,original,NA,Calloodes_rayneri,10,NA,1.4,48,1.2468817,0.35,0.7,0.25
rayn02,PicXB33994,-16.41,145.2,2,PicXB33994,3,original,NA,Calloodes_rayneri,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
rayn03,PicXB34002,-16.41,145.2,2,PicXB34002,1,original,NA,Calloodes_rayneri,15,NA,5.3,89,1.6165289,0.34,0.74,0.24
rayn04,NA,-28.04,145.41,2,NA,12,HR,rayn1,Calloodes_rayneri,2,16,0.7,39,0.14785875,0.07,0.09,0.06
rayn05,NA,-28.04,145.41,2,NA,12,HR,rayn2,Calloodes_rayneri,2,16,0.7,39,0.14785875,0.07,0.09,0.06
repa01,PicXB44142,-30.39,152.99,1,PicXB44142,11,original,NA,Repsimus_aeneus,17,NA,5.7,89,1.0880312,0.34,0.69,0.25
repa02,PicXB44146,-35.27,149.1,1,PicXB44146,12,original,NA,Repsimus_aeneus,14,18,0.7,30,0.734333,0.05,0.21,0.03
repa03,NA,-26.56,153.08,1,NA,12,HR,rpan1,Repsimus_aeneus,11,0,2,61,1.1841755,0.43,0.74,0.32
reps01,PicXB44136,-33.4,151.09,1,PicXB44136,11,original,NA,Repsimus_manicatus,16,0,4.7,87,0.82936835,0.19,0.53,0.13
reps02,PicXB44139,-32.79,150.92,1,PicXB44139,1,original,NA,Repsimus_manicatus,14,NA,1.8,62,0.54941213,0.15,0.36,0.11
reps03,NA,-33.55,150.9,1,NA,12,HR,rpmm1,Repsimus_manicatus,18,0,2.3,77,0.6347964,0.19,0.43,0.13
rept01,PicXB44127,-35.32,148.95,1,PicXB44127,12,original,NA,Repsimus_manicatus,7,0,1.1,43,0.7040215,0.07,0.26,0.04
rept02,PicXB44130,-35.53,148.84,1,PicXB44130,2,original,NA,Repsimus_manicatus,12,0,1.3,49,1.4000489,0.05,0.28,0.03
rept03,PicXB44133,-35.3,148.89,1,PicXB44133,1,original,NA,Repsimus_manicatus,13,0,5.5,89,0.90291786,0.06,0.29,0.04
rina01,ANIC010272,-30.07,153.2,12,NA,12,original,NA,Anoplognathus_rhinastus,0,0,0.1,6,0.9839614,0.35,0.68,0.25
rina02,ANIC010273,-30.38,153.03,12,PicXB54295,12,original,NA,Anoplognathus_rhinastus,19,0,2.2,71,1.0669996,0.33,0.69,0.24
rina03,ANIC010275,-28.58,151.8,12,PicXB54298,1,original,NA,Anoplognathus_rhinastus,10,2,1.4,53,0.534727,0.11,0.3,0.07
rina04,ANIC010276,-28.58,151.8,12,PicXB54302,1,original,NA,Anoplognathus_rhinastus,10,2,1.4,53,0.534727,0.11,0.3,0.07
roci01,ANIC010586,-18.98,146.15,1,NA,1,original,NA,Anoplognathus_rothschildti,16,NA,2.5,67,1.195365,0.41,0.69,0.31
roci02,ANIC010614,-19,146.2,1,PicXB54310,1,original,NA,Anoplognathus_rothschildti,14,NA,1.4,46,0.98068666,0.41,0.69,0.31
roci03,ANIC010521,-17.48,145.48,1,PicXB54315,3,original,NA,Anoplognathus_rothschildti,17,NA,2.9,71,1.6429228,0.35,0.78,0.25
roci04,ANIC010613,-19,146.2,1,PicXB54318,1,original,NA,Anoplognathus_rothschildti,14,NA,1.4,46,0.98068666,0.41,0.69,0.31
rose01,PicXB13662,-11.15,132.14,3,PicXB13662,2,original,NA,Anoplostethus_roseus,0,NA,NA,NA,0.6670435,0.45,0.17750001,0.42
rose02,PicXB13665,-16.08,136.06,3,PicXB13665,4,original,NA,Anoplostethus_roseus,4,1,1,40,0.30760926,0.28,0.08,0.27
rose03,PicXB13668,-12.44,131.07,3,PicXB13668,1,original,NA,Anoplostethus_roseus,4,NA,0.7,30,0.79001784,0.48,0.17,0.45
rose04,PicXB44119,-16.08,136.06,3,PicXB44119,4,original,NA,Anoplostethus_roseus,4,1,1,40,0.30760926,0.28,0.08,0.27
rose05,ANIC,-11.02,136.75,3,NA,2,HR,rose1,Anoplostethus_roseus,0,NA,NA,NA,0.7090195,0.47,0.2,0.43
rubi01,ANIC010645,-30.38,151.93,12,PicXB23696,12,original,NA,Anoplognathus_rubiginosus,8,0,1.9,66,0.5843055,0.07,0.3,0.05
rubi02,ANIC010646,-30.38,151.93,12,PicXB23699,12,original,NA,Anoplognathus_rubiginosus,8,0,1.9,66,0.5843055,0.07,0.3,0.05
rubi03,ANIC010946,-37.3,146.13,1,PicXB54321,12,original,NA,NA_NA,13,4,4,85,1.5872312,0.07,0.34,0.05
rubi04,ANIC010947,-37.3,146.13,1,PicXB54324,12,original,NA,NA_NA,13,4,4,85,1.5872312,0.07,0.34,0.05
rubi05,ANIC010951,-35.33,149.33,1,PicXB54327,12,original,NA,NA_NA,15,NA,1.3,49,0.60357064,0.04,0.19,0.03
rubi06,ANIC010953,-35.33,149.33,1,PicXB54330,12,original,NA,NA_NA,15,NA,1.3,49,0.60357064,0.04,0.19,0.03
rugo01,ANIC010744,-34.05,151.15,12,PicXB23704,1,original,NA,Anoplognathus_rugosus,NA,61,NA,NA,0.85018224,0.21,0.56,0.14
rugo02,ANIC010749,-35.55,149.95,12,PicXB23707,12,original,NA,Anoplognathus_rugosus,14,0,5.5,89,0.9982479,0.05,0.3,0.03
rugo03,ANIC010747,-35.55,149.95,12,PicXB23710,12,original,NA,Anoplognathus_rugosus,14,0,5.5,89,0.9982479,0.05,0.3,0.03
saul01,PicXB65077,-37.79,146.93,1,PicXB65077,11,original,NA,NA_NA,14,0,4,85,0.72739863,0.06,0.32,0.04
saul02,PicXB65082,-41.89,147.64,1,PicXB65082,7,original,NA,NA_NA,14,0,0.9,39,1.29217,0.01,0.18,0.01
smgg01,ANIC010794,-17.58,145.98,1,PicXB13605,11,original,NA,Anoplognathus_smaragdinus,10,NA,2,61,1.9306737,0.66,0.66,0.53
smgg02,ANIC010857,-17.47,146.03,1,PicXB23684,11,original,NA,Anoplognathus_smaragdinus,19,NA,0.4,19,2.2642386,0.65,0.72,0.52
smgg03,ANIC010862,-17.53,146.02,1,NA,11,HR,smgd1,Anoplognathus_smaragdinus,0,NA,0.5,26,1.9293523,0.66,0.66,0.53
smgg04,ANIC010863,-16.92,145.77,1,NA,1,HR,smgd2,Anoplognathus_smaragdinus,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
smgp01,ANIC010755,-16.92,145.77,1,PicXB23692,1,original,NA,Anoplognathus_smaragdinus,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
smgr01,ANIC010756,-16.92,145.77,1,PicXB23689,1,original,NA,Anoplognathus_smaragdinus,0,NA,NA,NA,1.1045061,0.56,0.45,0.47
sqzb01,PicXB64875,-35.58,150.09,1,PicXB64875,1,original,NA,NA_NA,15,8,4.5,86,0.7847069,0.12,0.44,0.08
sqzb02,PicXB64879,-35.58,150.09,1,PicXB64879,1,original,NA,NA_NA,15,8,4.5,86,0.7847069,0.12,0.44,0.08
sqzc01,PicXB64883,-28.59,152.5,1,PicXB64883,1,original,NA,NA_NA,16,NA,6.1,93,0.8814323,0.21,0.59,0.14
sqzc02,PicXB64886,-27.55,151.99,1,PicXB64886,11,original,NA,NA_NA,10,15,5.6,89,0.46151635,0.18,0.35,0.13
sqzc03,PicXB64889,-28.2,153.19,1,PicXB64889,12,original,NA,NA_NA,19,0,6.2,93,1.4204003,0.25,0.72,0.17
sqzm01,PicXB64894,-16.54,145.35,12,PicXB64894,1,original,NA,NA_NA,14,NA,0.6,25,0.877613,0.48,0.45,0.39
sqzm02,PicXB64898,-16.3,145.16,12,PicXB64898,1,original,NA,NA_NA,15,NA,1.1,40,0.842208,0.43,0.52,0.33
tars01,ANIC011524,-30.38,153.03,1,PicXB54342,1,original,NA,Anoplognathus_viriditarsis,19,0,2.2,71,1.0669996,0.33,0.69,0.24
tars02,ANIC011518,-30.38,153.03,1,PicXB54346,1,original,NA,Anoplognathus_viriditarsis,19,0,2.2,71,1.0669996,0.33,0.69,0.24
tars03,ANIC011508,-31.13,149.55,1,PicXB54349,11,original,NA,Anoplognathus_viriditarsis,7,1,1,42,0.43752947,0.1,0.22,0.07
tars04,ANIC011459,-35.38,148.87,1,NA,4,original,NA,Anoplognathus_viriditarsis,12,0,2.3,70,1.1689167,0.06,0.29,0.04
tars05,ANIC011535,-30.98,151.58,1,NA,2,HR,tars1,Anoplognathus_viriditarsis,6,12,2,69,0.6566162,0.07,0.28,0.04
tars06,ANIC011492,-34.97,149.03,1,NA,2,HR,tars2,Anoplognathus_viriditarsis,5,0,1,45,0.68118054,0.06,0.23,0.04
velu01,ANIC011247,-35.27,149.15,11,PicXB54333,11,original,NA,Anoplognathus_velutinus,8,NA,0.7,28,0.63243407,0.05,0.2,0.03
velu02,ANIC011270,-27.93,152.93,11,PicXB54336,12,original,NA,Anoplognathus_velutinus,6,0,3.1,78,0.5479193,0.27,0.45,0.21
velu03,ANIC011243,-35.27,149.1,11,PicXB54339,11,original,NA,Anoplognathus_velutinus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
velu04,ANIC002879,-31.33,138.6,10,PicXB54421,11,original,NA,Anoplognathus_velutinus,3,49,0.5,28,0.15196562,0.03,0.08,0.02
velu05,ANIC002877,-31.53,138.6,10,PicXB54418,11,original,NA,Anoplognathus_velutinus,4,54,0.7,34,0.24033898,0.03,0.09,0.02
vrdi02,ANIC011299,-22.87,150.62,12,PicXB44083,11,original,NA,Anoplognathus_viridiaeneus,18,4,5.7,89,0.8275058,0.43,0.62,0.34
vrdi03,ANIC011292,-33.95,151.23,12,PicXB13601,12,original,NA,Anoplognathus_viridiaeneus,0,40,NA,NA,0.90839535,0.21,0.58,0.15
xyle01,PicXB64901,-29.54,152.38,10,PicXB64901,10,original,NA,Xylonichus_sp,17,0,2.6,74,0.81985825,0.15,0.51,0.1
xyle02,PicXB64904,-38.13,145.17,10,PicXB64904,10,original,NA,Xylonichus_sp,0,31,NA,NA,0.91410446,0.06,0.37,0.04
xyle04,PicXB64910,-30.48,152.66,10,PicXB64910,11,original,NA,Xylonichus_sp,15,NA,6.9,91,1.169623,0.2,0.6,0.13
xyle05,PicXB64913,-37.74,149.5,10,PicXB64913,11,original,NA,Xylonichus_sp,20,NA,3.5,81,1.0073395,0.07,0.42,0.05
xyle06,PicXB64916,-35.32,148.46,10,PicXB64916,11,original,NA,Xylonichus_sp,14,20,3.3,80,1.7308732,0.06,0.29,0.04
xyle07,NA,-31.45,152.74,10,NA,1,HR,xyln1,Xylonichus_sp,14,0,2.1,76,1.0211141,0.29,0.68,0.21
xyle08,NA,-30.52,152.38,10,NA,12,HR,xyln2,Xylonichus_sp,15,NA,5.5,89,1.5180107,0.07,0.45,0.04
xyle09,NA,-33.73,151.2,10,NA,1,HR,xyln3,Xylonichus_sp,12,0,1.4,54,1.0329554,0.21,0.6,0.15
xyls01,PicXB64919,-35.53,148.77,11,PicXB64919,10,original,NA,Xylonichus_sp,14,7,1.2,46,2.3110936,0.01,0.16,0
xyls02,PicXB64922,-35.58,148.78,11,PicXB64922,11,original,NA,Xylonichus_sp,14,0,0.9,35,2.9656777,0,0.14,0
xyls03,PicXB64925,-35.58,148.78,11,PicXB64925,11,original,NA,Xylonichus_sp,14,0,0.9,35,2.9656777,0,0.14,0
